career_id,family_id,name,slug,role_kind,market_status,evidence_status,description,education_summary,direct_animal_contact,career_stage,active,last_verified,source_origin
cr_0011,rf_applied_behavior,Service-dog / assistance-animal trainer,service-dog-assistance-animal-trainer,career,E — Exact or near-exact occupation/title verified,verified_occupation_or_title,"Selects, socializes, trains, evaluates, and matches assistance animals while teaching reliable task performance and appropriate public behavior.",B.S.-accessible / experience-driven,High,entry_or_early,1,2026-09-08,legacy_researched_matrix
cr_0012,rf_shelter_companion,Shelter behavior specialist / coordinator,shelter-behavior-specialist-coordinator,career,E — Exact or near-exact occupation/title verified,verified_occupation_or_title,"Assesses behavior in shelter animals, designs enrichment and behavior plans, supports adopters/fosters, trains staff or volunteers, and helps make placement decisions.",B.S.-accessible / experience-driven,Low / variable,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0013,rf_shelter_companion,Companion-animal behavior researcher,companion-animal-behavior-researcher,scientific_specialty,F — Established scientific specialty; payroll title usually differs,established_scientific_specialty,"Studies behavior, cognition, welfare, social interaction, learning, or human-animal relationships in dogs, cats, and other companion species.",Graduate degree typical,Moderate,variable,1,2026-09-08,legacy_researched_matrix
cr_0014,rf_animal_care,Zookeeper / animal-care specialist,zookeeper-animal-care-specialist,career,E — Exact or near-exact occupation/title verified,verified_current_market,"Provides daily husbandry: feeding, cleaning, observation, recordkeeping, enrichment, training, enclosure care, and communication with veterinary/behavioral staff.",B.S.-accessible / experience-driven,High,entry_or_early,1,2026-09-08,legacy_researched_matrix
cr_0015,rf_aquatic_care,Aquarist / aquarium animal-care specialist,aquarist-aquarium-animal-care-specialist,career,E — Exact or near-exact occupation/title verified,verified_current_market,"Maintains aquatic animals and life-support environments, including feeding, water-quality checks, habitat maintenance, observation, enrichment, records, and sometimes diving.",B.S.-accessible / experience-driven,High,entry_or_early,1,2026-09-08,legacy_researched_matrix
cr_0016,rf_animal_care,Sanctuary animal caregiver,sanctuary-animal-caregiver,career,R — Real work/function; employers commonly use other titles,verified_current_market,"Provides day-to-day husbandry and welfare support in sanctuary settings, often for animals with long-term care needs and varied behavioral histories.",B.S.-accessible / experience-driven,High,entry_or_early,1,2026-09-08,legacy_researched_matrix
cr_0017,rf_welfare_husbandry,Zoo behavioral-husbandry specialist,zoo-behavioral-husbandry-specialist,career,R — Real work/function; employers commonly use other titles,verified_current_market,"Specializes within zoo animal care in training, enrichment, welfare monitoring, cooperative medical behaviors, and behavior-informed management.",B.S.-accessible / experience-driven,High,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0018,rf_welfare_husbandry,Zoo / aquarium welfare specialist,zoo-aquarium-welfare-specialist,career,E — Exact or near-exact occupation/title verified,verified_occupation_or_title,"Evaluates and improves welfare across animal programs using behavior, physiology, environmental design, staff practices, enrichment, and evidence-based assessment.",B.S. + graduate study often useful,Moderate,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0019,rf_welfare_husbandry,Zoo / aquarium behavioral researcher,zoo-aquarium-behavioral-researcher,career,R — Real work/function; employers commonly use other titles,verified_function_title_varies,"Conducts applied research on behavior, welfare, social relationships, cognition, enrichment, visitor effects, husbandry, or conservation-relevant questions in managed populations.",Graduate degree typical,High,variable,1,2026-09-08,legacy_researched_matrix
cr_0020,rf_population,Conservation-breeding technician,conservation-breeding-technician,career,R — Real work/function; employers commonly use other titles,verified_function_title_varies,"Provides husbandry, breeding support, records, behavioral monitoring, sampling, and sometimes release preparation for threatened or endangered species programs.",B.S.-accessible / experience-driven,High,entry_or_early,1,2026-09-08,legacy_researched_matrix
cr_0021,rf_population,Conservation-breeding scientist,conservation-breeding-scientist,scientific_specialty,F — Established scientific specialty; payroll title usually differs,established_scientific_specialty,"Uses population, behavioral, genetic, reproductive, and welfare science to design and evaluate conservation-breeding and population-management strategies.",Graduate degree typical,Moderate,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0022,rf_zoo_science_leadership,Animal collection / management specialist,animal-collection-management-specialist,later_career,R — Real work/function; employers commonly use other titles,verified_function_title_varies,"Coordinates the operational management of an animal collection, including husbandry standards, staffing, records, transfers, welfare, breeding recommendations, and institutional procedures.",Experience-driven / later career,High,leadership,1,2026-09-08,legacy_researched_matrix
cr_0023,rf_zoo_science_leadership,Zoo animal curator,zoo-animal-curator,career,E — Exact or near-exact occupation/title verified,verified_current_market,"A later-career leadership role overseeing animal collections, staff, husbandry standards, welfare, acquisitions/transfers, breeding plans, budgets, and often conservation or research priorities.",B.S. + graduate study often useful,High,leadership,1,2026-09-08,legacy_researched_matrix
cr_0024,rf_zoo_science_leadership,Zoo conservation coordinator,zoo-conservation-coordinator,career,E — Exact or near-exact occupation/title verified,verified_occupation_or_title,"Connects zoo resources to field or ex-situ conservation programs through project coordination, partnerships, grant/program administration, research, and conservation planning.",B.S. + graduate study often useful,Low / variable,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0025,rf_zoo_science_leadership,Zoo research coordinator,zoo-research-coordinator,career,E — Exact or near-exact occupation/title verified,verified_current_market,"Organizes and supports institutional research, including project review, data collection, student collaborations, permits/ethics processes, records, and communication of findings.",B.S. + graduate study often useful,Low / variable,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0026,rf_wildlife_tech,Wildlife technician / biological science technician,wildlife-technician-biological-science-technician,career,E — Exact or near-exact occupation/title verified,verified_current_market,"Collects field data for wildlife or ecological projects: trapping/handling where permitted, surveys, telemetry, habitat measurements, sample collection, data entry, and equipment maintenance.",B.S.-accessible / experience-driven,Moderate,entry_or_early,1,2026-09-08,legacy_researched_matrix
cr_0027,rf_wildlife_biology,Wildlife biologist,wildlife-biologist,career,E — Exact or near-exact occupation/title verified,verified_current_market,"Studies or manages wild animal populations and habitats using field surveys, population analysis, habitat assessment, regulatory work, management planning, and scientific reporting.",B.S. + graduate study often useful,Moderate,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0028,rf_rehab,Wildlife rehabilitator,wildlife-rehabilitator,career,E — Exact or near-exact occupation/title verified,verified_current_market,"Provides licensed care to injured, orphaned, or displaced wildlife with the goal of recovery and appropriate release, combining husbandry, observation, triage support, and release planning.",B.S.-accessible / experience-driven,High,entry_or_early,1,2026-09-08,legacy_researched_matrix
cr_0029,rf_rehab,Wildlife rehabilitation / release coordinator,wildlife-rehabilitation-release-coordinator,career,R — Real work/function; employers commonly use other titles,verified_function_title_varies,"Manages rehabilitation-to-release logistics, including readiness assessment, release sites, permits, transport, records, volunteer/staff coordination, and sometimes follow-up monitoring.",B.S.-accessible / experience-driven,Moderate,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0030,rf_reintroduction,Reintroduction / release field technician,reintroduction-release-field-technician,career,R — Real work/function; employers commonly use other titles,verified_function_title_varies,"Supports the release or reintroduction of animals by preparing sites, assisting handling/transport, tracking released animals, documenting survival/behavior, and maintaining field equipment.",B.S.-accessible / experience-driven,Moderate,entry_or_early,1,2026-09-08,legacy_researched_matrix
cr_0031,rf_reintroduction,Post-release monitoring biologist,post-release-monitoring-biologist,career,R — Real work/function; employers commonly use other titles,verified_function_title_varies,"Evaluates survival, movement, behavior, habitat use, reproduction, and adaptation after translocation or release using telemetry, surveys, observations, and quantitative analysis.",B.S. + graduate study often useful,Moderate,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0032,rf_wildlife_biology,Behavioral ecologist,behavioral-ecologist,scientific_specialty,F — Established scientific specialty; payroll title usually differs,established_scientific_specialty,"Studies how behavior is shaped by ecological conditions and evolution, including foraging, mating, social systems, predator avoidance, movement, communication, and life-history tradeoffs.",Graduate degree typical,Moderate,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0033,rf_wildlife_biology,Conservation biologist,conservation-biologist,career,E — Exact or near-exact occupation/title verified,verified_occupation_or_title,"Applies biological science to biodiversity conservation, combining species/population ecology, threats, habitat, management, monitoring, restoration, and conservation planning.",Graduate degree typical,Moderate,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0034,rf_reintroduction,Endangered-species biologist,endangered-species-biologist,career,R — Real work/function; employers commonly use other titles,verified_function_title_varies,"Works on recovery and management of threatened or endangered species through surveys, habitat analysis, monitoring, permitting, recovery planning, and coordination with agencies or landowners.",B.S. + graduate study often useful,Moderate,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0035,rf_wildlife_biology,Population ecologist,population-ecologist,career,E — Exact or near-exact occupation/title verified,verified_occupation_or_title,"Uses demographic, statistical, and modeling approaches to understand population size, survival, reproduction, trends, density dependence, and responses to management or environment.",Graduate degree typical,Moderate,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0036,rf_movement,Movement / spatial ecologist,movement-spatial-ecologist,career,E — Exact or near-exact occupation/title verified,verified_occupation_or_title,"Studies how animals move through landscapes or seascapes using telemetry, GPS, GIS, spatial statistics, and movement models to understand migration, habitat use, connectivity, and risk.",Graduate degree typical,Moderate,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0037,rf_wildlife_health,Wildlife disease / ecophysiology specialist,wildlife-disease-ecophysiology-specialist,career,R — Real work/function; employers commonly use other titles,verified_function_title_varies,"Studies disease, stress, energetics, physiology, or environmental responses in wildlife and how those factors affect individual performance, populations, and conservation.",Graduate degree typical,Moderate,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0038,rf_human_dimensions,Human-wildlife conflict specialist,human-wildlife-conflict-specialist,career,E — Exact or near-exact occupation/title verified,verified_occupation_or_title,"Develops science-based responses to conflicts between people and wildlife, including coexistence, damage prevention, public communication, policy, and field assessment.",B.S. + graduate study often useful,Moderate,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0039,rf_habitat,Habitat / wildlife management biologist,habitat-wildlife-management-biologist,career,R — Real work/function; employers commonly use other titles,verified_current_market,"Plans and evaluates habitat or population management, using field data, vegetation/habitat measures, wildlife monitoring, GIS, and management objectives.",B.S. + graduate study often useful,Moderate,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0040,rf_taxon,Zoologist,zoologist,career,E — Exact or near-exact occupation/title verified,verified_occupation_or_title,"A broad animal-biological occupation covering the study of animal species, anatomy, behavior, ecology, evolution, physiology, distribution, or conservation; specific job titles often identify the taxon or method.",Graduate degree typical,Low / variable,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0041,rf_taxon,Mammalogist,mammalogist,scientific_specialty,F — Established scientific specialty; payroll title usually differs,established_scientific_specialty,"Specializes in mammals, often through field ecology, behavior, taxonomy, conservation, collections, physiology, or population research.",Graduate degree typical,Low / variable,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0042,rf_taxon,Ornithologist,ornithologist,scientific_specialty,F — Established scientific specialty; payroll title usually differs,established_scientific_specialty,"Specializes in birds, commonly through field surveys, migration, behavior, population ecology, conservation, bioacoustics, or museum research.",Graduate degree typical,Low / variable,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0043,rf_taxon,Herpetologist,herpetologist,scientific_specialty,F — Established scientific specialty; payroll title usually differs,established_scientific_specialty,"Specializes in reptiles and amphibians through ecology, behavior, conservation, taxonomy, physiology, captive management, or collections work.",Graduate degree typical,Low / variable,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0044,rf_evolution,Field ecologist,field-ecologist,career,E — Exact or near-exact occupation/title verified,verified_occupation_or_title,"Collects and analyzes ecological data in natural systems, often combining species surveys, habitat measurements, experimental design, monitoring, and environmental reporting.",B.S.-accessible / experience-driven,Low / variable,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0045,rf_evolution,Ecological research technician,ecological-research-technician,career,R — Real work/function; employers commonly use other titles,verified_function_title_varies,"Provides hands-on support for ecological studies through field sampling, lab processing, species identification, data management, equipment use, and research logistics.",B.S.-accessible / experience-driven,Low / variable,entry_or_early,1,2026-09-08,legacy_researched_matrix
cr_0046,rf_physiology,Animal physiologist,animal-physiologist,scientific_specialty,F — Established scientific specialty; payroll title usually differs,established_scientific_specialty,"Studies how animal bodies function and respond to environment, stress, reproduction, energetics, temperature, exercise, disease, or other biological challenges.",Graduate degree typical,Low / variable,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0047,rf_physiology,Neuroethologist / neural-behavior researcher,neuroethologist-neural-behavior-researcher,scientific_specialty,F — Established scientific specialty; payroll title usually differs,established_scientific_specialty,"Investigates how nervous systems generate natural behavior, linking neural mechanisms with sensory processing, movement, communication, learning, or species-typical behavior.",Graduate degree typical,Low / variable,variable,1,2026-09-08,legacy_researched_matrix
cr_0048,rf_evolution,Evolutionary biologist studying animals,evolutionary-biologist-studying-animals,career,R — Real work/function; employers commonly use other titles,verified_function_title_varies,"Studies evolutionary processes in animals using genetics, comparative biology, morphology, ecology, behavior, phylogenetics, or experimental approaches.",Graduate degree typical,Low / variable,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0049,rf_gis,GIS / wildlife spatial analyst,gis-wildlife-spatial-analyst,career,R — Real work/function; employers commonly use other titles,verified_function_title_varies,"Uses GIS and geospatial data to map and analyze habitat, movement, land use, species distributions, environmental change, and conservation priorities.",B.S.-accessible / experience-driven,Low / variable,variable,1,2026-09-08,legacy_researched_matrix
cr_0050,rf_quant,Quantitative ecology research assistant,quantitative-ecology-research-assistant,career,R — Real work/function; employers commonly use other titles,verified_function_title_varies,"Supports ecology projects requiring substantial statistics, data management, modeling, reproducible analysis, or database work in addition to biological understanding.",B.S.-accessible / experience-driven,Moderate,entry_or_early,1,2026-09-08,legacy_researched_matrix
cr_0051,rf_quant,Quantitative ecologist / biometrician,quantitative-ecologist-biometrician,career,E — Exact or near-exact occupation/title verified,verified_occupation_or_title,"Develops and applies statistical models to ecological, wildlife, fisheries, or conservation data, often addressing abundance, survival, movement, occupancy, population dynamics, or decision-making.",Graduate degree typical,Low / variable,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0052,rf_env_consult,Environmental consultant — wildlife/ecology,environmental-consultant-wildlife-ecology,career,R — Real work/function; employers commonly use other titles,verified_function_title_varies,"Conducts biological surveys and analyses for clients, often related to development, permitting, environmental review, habitat, threatened species, mitigation, or compliance.",B.S. + graduate study often useful,Low / variable,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0053,rf_env_consult,Environmental permitting / compliance biologist,environmental-permitting-compliance-biologist,career,E — Exact or near-exact occupation/title verified,verified_occupation_or_title,"Evaluates projects against environmental and wildlife regulations, prepares permit documents, conducts biological assessments, coordinates surveys, and develops mitigation/compliance measures.",B.S.-accessible / experience-driven,Low / variable,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0054,rf_agency,Natural-resource agency biologist,natural-resource-agency-biologist,career,R — Real work/function; employers commonly use other titles,verified_current_market,"Works in government on wildlife, fisheries, habitat, monitoring, restoration, regulation, research, or resource-management programs.",B.S.-accessible / experience-driven,Low / variable,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0055,rf_agency,Natural-resource manager,natural-resource-manager,career,E — Exact or near-exact occupation/title verified,verified_occupation_or_title,"Coordinates management of land, wildlife, habitat, recreation, or conservation programs using science, policy, planning, staff/contract management, and stakeholder communication.",B.S. + graduate study often useful,Low / variable,leadership,1,2026-09-08,legacy_researched_matrix
cr_0056,rf_agency,Park / service biologist or resource specialist,park-service-biologist-or-resource-specialist,career,R — Real work/function; employers commonly use other titles,verified_function_title_varies,"Monitors and protects natural resources in parks, refuges, preserves, or public lands through field science, management, restoration, visitor-impact assessment, and planning.",B.S.-accessible / experience-driven,Low / variable,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0057,rf_agency,Conservation NGO scientist / coordinator,conservation-ngo-scientist-coordinator,career,R — Real work/function; employers commonly use other titles,verified_current_market,"Works within nonprofit conservation organizations on research, field projects, species/habitat programs, partnerships, outreach, grants, or program coordination.",B.S. + graduate study often useful,Low / variable,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0058,rf_restoration,Habitat restoration / ecological-monitoring specialist,habitat-restoration-ecological-monitoring-specialist,career,R — Real work/function; employers commonly use other titles,verified_function_title_varies,"Plans, implements, or evaluates restoration and monitoring projects using field ecology, vegetation/habitat methods, GIS, data analysis, and long-term performance measures.",B.S. + graduate study often useful,Low / variable,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0059,rf_research_support,University / laboratory research assistant,university-laboratory-research-assistant,career,E — Exact or near-exact occupation/title verified,verified_occupation_or_title,"Supports academic biological or behavioral research through experiments, animal observation/care where applicable, sample processing, data management, literature work, and analysis.",B.S.-accessible / experience-driven,Moderate,entry_or_early,1,2026-09-08,legacy_researched_matrix
cr_0060,rf_research_support,Research / laboratory manager — behavioral or biological science,research-laboratory-manager-behavioral-or-biological-science,career,E — Exact or near-exact occupation/title verified,verified_current_market,"Coordinates day-to-day research operations, protocols, supplies, personnel, records, equipment, compliance, training, and sometimes data collection/analysis.",B.S. + graduate study often useful,Low / variable,leadership,1,2026-09-08,legacy_researched_matrix
cr_0061,rf_grad,M.S. in animal behavior / ethology,m-s-in-animal-behavior-ethology,education_path,"EDU — Graduate-education pathway, not a job",verified_occupation_or_title,"Graduate-study pathway for deeper work in behavior, ethology, cognition, welfare, learning, communication, or related research.",Graduate study pathway,Moderate,education,1,2026-09-08,legacy_researched_matrix
cr_0062,rf_grad,M.S. / Ph.D. in behavioral ecology,m-s-ph-d-in-behavioral-ecology,education_path,"EDU — Graduate-education pathway, not a job",verified_occupation_or_title,"Graduate-study pathway emphasizing behavior in ecological/evolutionary context, usually with intensive research and quantitative analysis.",Graduate study pathway,Low / variable,education,1,2026-09-08,legacy_researched_matrix
cr_0063,rf_grad,M.S. / Ph.D. in wildlife ecology / conservation,m-s-ph-d-in-wildlife-ecology-conservation,education_path,"EDU — Graduate-education pathway, not a job",verified_occupation_or_title,"Graduate-study pathway for advanced wildlife, population, habitat, conservation, movement, or management research.",Graduate study pathway,Low / variable,education,1,2026-09-08,legacy_researched_matrix
cr_0064,rf_grad,M.S. / Ph.D. in zoology / organismal biology,m-s-ph-d-in-zoology-organismal-biology,education_path,"EDU — Graduate-education pathway, not a job",verified_occupation_or_title,"Graduate-study pathway for advanced animal biology, physiology, evolution, ecology, behavior, morphology, or integrative organismal science.",Graduate study pathway,Low / variable,education,1,2026-09-08,legacy_researched_matrix
cr_0065,rf_grad,M.S. / Ph.D. in animal welfare science,m-s-ph-d-in-animal-welfare-science,education_path,"EDU — Graduate-education pathway, not a job",verified_occupation_or_title,"Graduate-study pathway focused on welfare assessment, behavior, physiology, husbandry, ethics, and evidence-based improvement of animal care.",Graduate study pathway,High,education,1,2026-09-08,legacy_researched_matrix
cr_0066,rf_independent_research,Research scientist / principal investigator,research-scientist-principal-investigator,career,R — Real work/function; employers commonly use other titles,verified_function_title_varies,"Designs and leads research programs, obtains funding, supervises projects and staff, analyzes and publishes results, and develops an independent scientific agenda.",Graduate degree typical,Low / variable,leadership,1,2026-09-08,legacy_researched_matrix
cr_0067,rf_independent_research,University professor,university-professor,career,E — Exact or near-exact occupation/title verified,verified_occupation_or_title,"Combines teaching, mentoring, research, service, publication, and often grant-funded laboratory or field programs in a biological or behavioral specialty.",Graduate degree typical,Low / variable,leadership,1,2026-09-08,legacy_researched_matrix
cr_0068,rf_zoo_education,Zoo / aquarium educator,zoo-aquarium-educator,career,E — Exact or near-exact occupation/title verified,verified_current_market,"Develops and delivers public or school programs about animals, conservation, biology, welfare, and institutional missions, often using live interpretation and exhibit-based learning.",B.S.-accessible / experience-driven,Moderate,entry_or_early,1,2026-09-08,legacy_researched_matrix
cr_0069,rf_wildlife_education,Wildlife / environmental educator,wildlife-environmental-educator,career,E — Exact or near-exact occupation/title verified,verified_current_market,"Teaches environmental and wildlife topics through schools, nature centers, parks, nonprofits, camps, field programs, or public outreach.",B.S.-accessible / experience-driven,Low / variable,entry_or_early,1,2026-09-08,legacy_researched_matrix
cr_0070,rf_wildlife_education,Naturalist / interpretive educator,naturalist-interpretive-educator,career,E — Exact or near-exact occupation/title verified,verified_current_market,"Interprets natural history for visitors through guided walks, talks, exhibits, field programs, species identification, and place-based ecological education.",B.S.-accessible / experience-driven,Low / variable,entry_or_early,1,2026-09-08,legacy_researched_matrix
cr_0071,rf_wildlife_education,Conservation outreach / program coordinator,conservation-outreach-program-coordinator,career,R — Real work/function; employers commonly use other titles,verified_current_market,"Coordinates education, engagement, volunteer, citizen-science, or conservation-program activities and communicates scientific issues to public or stakeholder audiences.",B.S.-accessible / experience-driven,Low / variable,professional_or_specialist,1,2026-09-08,legacy_researched_matrix
cr_0072,rf_scicomm,Science writer / communicator — biology and animals,science-writer-communicator-biology-and-animals,career,E — Exact or near-exact occupation/title verified,verified_occupation_or_title,"Translates scientific information into clear public, technical, educational, journalistic, institutional, or policy-oriented communication.",B.S.-accessible / experience-driven,Low / variable,variable,1,2026-09-08,legacy_researched_matrix
cr_0073,rf_scicomm,Museum / natural-history education or collections work,museum-natural-history-education-or-collections-work,education_path,R — Real work/function; employers commonly use other titles,verified_function_title_varies,"Supports natural-history collections, specimen care, databases, curation, research access, exhibitions, and/or public education; advanced curator roles often require graduate training.",Graduate study pathway,Low / variable,education,1,2026-09-08,legacy_researched_matrix
cr_0074,rf_population,Population biologist / zoo population management scientist,population-biologist-zoo-population-management-scientist,scientific_specialty,Established professional/scientific role; payroll titles vary,verified_current_market,"Uses demographic, genetic, and population analyses to assess managed conservation populations, forecast population trajectories, and develop breeding/transfer recommendations for zoo and aquarium populations.",B.S. + graduate study often useful,Low / variable,professional_or_specialist,1,2026-09-08,2026_market_expansion
cr_0075,rf_population,SSP coordinator / studbook keeper,ssp-coordinator-studbook-keeper,professional_assignment,Established AZA Animal Program leadership assignment,verified_professional_assignment,"Coordinates an AZA Species Survival Plan or maintains a regional studbook, helping manage population records, breeding/transfer planning, and communication across participating institutions.",B.S. + substantial zoological experience,Low / variable,professional_or_specialist,1,2026-09-08,2026_market_expansion
cr_0076,rf_records_nutrition,Zoo registrar / animal records & permits specialist,zoo-registrar-animal-records-permits-specialist,career,Verified current market title,verified_current_market,"Maintains animal records, permits, inventories, transfers, regulatory documentation, and institutional animal databases such as ZIMS; may coordinate transaction, training, enrichment, and diet records.",B.S.-accessible / experience-driven,Low / variable,professional_or_specialist,1,2026-09-08,2026_market_expansion
cr_0077,rf_records_nutrition,Zoo animal nutritionist / nutrition coordinator,zoo-animal-nutritionist-nutrition-coordinator,career,Verified current market titles,verified_current_market,"Plans, prepares, evaluates, and manages diets and food systems for zoological collections, often working with keepers, veterinarians, commissary staff, and animal-management teams.",B.S. + graduate study often useful,Low / variable,professional_or_specialist,1,2026-09-08,2026_market_expansion
cr_0078,rf_zoo_training,Zoo / aquarium animal trainer,zoo-aquarium-animal-trainer,career,Verified current market titles,verified_current_market,"Uses learning principles and positive-reinforcement training with zoo or aquarium animals for husbandry, cooperative medical behavior, presentations, enrichment, and welfare.",B.S.-accessible / experience-driven,High,entry_or_early,1,2026-09-08,2026_market_expansion
cr_0079,rf_zoo_training,Ambassador animal specialist / animal programs keeper,ambassador-animal-specialist-animal-programs-keeper,career,Verified current market titles,verified_current_market,"Cares for and trains animals used in public programs, while combining husbandry, behavior, welfare, presentation, and conservation education.",B.S.-accessible / experience-driven,High,entry_or_early,1,2026-09-08,2026_market_expansion
cr_0080,rf_shelter_companion,Canine behavior consultant,canine-behavior-consultant,career,Established professional role; title and regulation vary,verified_professional_role,"Assesses and helps modify complex canine behavior problems such as fear, aggression, anxiety, compulsive behavior, and reactivity using behavior science and client/handler coaching.",Experience-driven; advanced certification valuable,High,professional_or_specialist,1,2026-09-08,2026_market_expansion
cr_0081,rf_wildlife_biology,Wildlife diversity / nongame biologist,wildlife-diversity-nongame-biologist,career,Verified current market titles,verified_current_market,"Studies and manages nongame species and biodiversity, often combining surveys, species-status assessments, habitat work, data management, and conservation planning for less-harvested or at-risk taxa.",B.S.-accessible; M.S. often useful,Moderate,professional_or_specialist,1,2026-09-08,2026_market_expansion
